Destination Port,Flow IAT Mean,Flow IAT Max,Bwd Packets/s,Fwd Packet Length Max,Fwd Packet Length Min,Average Packet Size,Fwd Header Length,Packet Length Variance,Total Length of Fwd Packets,Label
53,6878.0,20628.0,96.92740137636908,46.0,46.0,77.0,64,456.3,92.0,0
53,6902.0,20700.0,96.59036028204386,41.0,41.0,59.25,40,76.8,82.0,0
53,6869.0,20601.0,97.05439899063424,42.0,42.0,60.5,40,76.8,84.0,0
53,6919.0,20752.0,96.35303752950811,32.0,32.0,88.0,40,2764.8,64.0,0
53,6877.666666666666,20628.0,96.93209906460524,41.0,41.0,81.75,40,1116.3,82.0,0
53,6954.666666666666,20858.0,95.85889570552148,60.0,60.0,116.0,40,2017.2,120.0,0
53,6897.666666666666,20687.0,96.65104141497125,41.0,41.0,65.25,40,235.2,82.0,0
53,6939.333333333334,20812.0,96.07070804111828,32.0,32.0,48.0,40,76.8,64.0,0
53,6954.333333333334,20857.0,95.8634903896851,32.0,32.0,48.0,40,76.8,64.0,0
53,6949.666666666666,20844.0,95.9278622475898,32.0,32.0,48.0,64,76.8,64.0,0
53,6901.0,20697.0,96.60435685649423,32.0,32.0,54.0,40,235.2,64.0,0
53,6939.333333333334,20814.0,96.07070804111828,59.0,59.0,105.75,64,1228.8,118.0,0
53,7086.333333333334,21254.0,94.07780234253728,59.0,59.0,114.75,40,2017.2,118.0,0
53,6919.666666666666,20754.0,96.34375451611348,43.0,43.0,83.25,40,1044.3,86.0,0
53,6940.0,20814.0,96.06147934678194,43.0,43.0,83.25,40,1044.3,86.0,0
53,6867.666666666666,20598.0,97.0732417609086,50.0,50.0,70.5,40,76.8,100.0,0
53,6989.0,20961.0,95.38799065197692,33.0,33.0,55.25,40,235.2,66.0,0
53,8349.666666666668,25043.0,79.84350672681545,39.0,39.0,56.75,40,76.8,78.0,0
53,7014.666666666666,21039.0,95.0389659760502,25.0,25.0,39.25,40,76.8,50.0,0
53,6888.666666666666,20660.0,96.77731539727088,34.0,34.0,65.0,40,607.5,68.0,0
53,6918.0,20748.0,96.36696540425942,45.0,45.0,64.25,40,76.8,90.0,0
53,6883.666666666666,20648.0,96.84761028521622,25.0,25.0,39.25,40,76.8,50.0,0
53,6928.0,20779.0,96.2278675904542,39.0,39.0,56.75,40,76.8,78.0,0
53,6880.0,20634.0,96.89922480620156,45.0,45.0,70.25,40,235.2,90.0,0
53,6949.333333333334,20843.0,95.93246354566384,29.0,29.0,52.25,40,307.2,58.0,0
53,6960.666666666666,20877.0,95.77626664112633,39.0,39.0,79.75,40,1153.2,78.0,0
53,6961.666666666666,20880.0,95.7625089777352,30.0,30.0,45.5,40,76.8,60.0,0
53,6979.666666666666,20935.0,95.51554515497398,29.0,29.0,52.25,40,307.2,58.0,0
53,6866.666666666666,20594.0,97.08737864077668,31.0,31.0,46.75,40,76.8,62.0,0
53,6860.666666666666,20576.0,97.17228646390048,30.0,30.0,45.5,40,76.8,60.0,0
53,6930.0,20784.0,96.2000962000962,29.0,29.0,72.25,40,1555.2,58.0,0
53,6935.0,20800.0,96.13073780341264,31.0,31.0,46.75,40,76.8,62.0,0
53,6958.333333333334,20869.0,95.80838323353292,32.0,32.0,88.0,40,2764.8,64.0,0
53,6921.666666666666,20761.0,96.31591620515292,41.0,41.0,59.25,40,76.8,82.0,0
53,6926.333333333334,20773.0,96.25102266711583,32.0,32.0,88.0,40,2764.8,64.0,0
53,6953.0,20854.0,95.88187353180882,41.0,41.0,59.25,40,76.8,82.0,0
53,7118.0,21348.0,93.6592675845275,32.0,32.0,88.0,40,2764.8,64.0,0
53,6949.0,20842.0,95.93706528517292,41.0,41.0,59.25,40,76.8,82.0,0
53,6881.0,20638.0,96.88514266337256,43.0,43.0,80.75,40,874.8,86.0,0
53,6936.666666666666,20804.0,96.10764055742432,43.0,43.0,80.75,40,874.8,86.0,0
53,6967.666666666666,20899.0,95.68004592642204,43.0,43.0,80.75,64,874.8,86.0,0
53,6999.0,20991.0,95.25170262418442,32.0,32.0,88.0,40,2764.8,64.0,0
53,6953.666666666666,20855.0,95.8726810795264,41.0,41.0,59.25,40,76.8,82.0,0
53,6919.333333333334,20752.0,96.34839579920995,31.0,31.0,46.75,64,76.8,62.0,0
53,26619.0,79851.0,25.04476752194548,31.0,31.0,46.75,64,76.8,62.0,0
53,6906.333333333334,20713.0,96.52975529707032,47.0,47.0,86.75,64,940.8,94.0,0
53,6898.333333333334,20689.0,96.64170089393572,37.0,37.0,74.25,64,940.8,74.0,0
53,6898.333333333334,20692.0,96.64170089393572,38.0,38.0,75.5,64,940.8,76.0,0
53,6906.333333333334,20714.0,96.52975529707032,31.0,31.0,46.75,64,76.8,62.0,0
53,6944.333333333334,20829.0,96.0015360245764,44.0,44.0,63.0,64,76.8,88.0,0
53,15648.0,46938.0,42.60395364689843,37.0,37.0,74.25,64,940.8,74.0,0
53,15763.666666666668,47286.0,42.29134507623015,38.0,38.0,75.5,64,940.8,76.0,0
53,15304.333333333332,45909.0,43.56064731121904,31.0,31.0,46.75,64,76.8,62.0,0
53,6902.666666666666,20704.0,96.58103148541626,47.0,47.0,86.75,40,940.8,94.0,0
53,6863.0,20583.0,97.13924911360436,44.0,44.0,69.0,64,235.2,88.0,0
53,6923.0,20766.0,96.2973662670326,37.0,37.0,74.25,40,940.8,74.0,0
53,7007.0,21019.0,95.14295228580944,38.0,38.0,75.5,40,940.8,76.0,0
53,6880.0,20636.0,96.89922480620156,43.0,43.0,83.25,40,1044.3,86.0,0
53,6958.666666666666,20872.0,95.80379383023568,45.0,45.0,76.75,40,504.3,90.0,0
53,15842.666666666668,47520.0,42.08045783538125,38.0,38.0,75.5,40,940.8,76.0,0
53,15085.0,45251.0,44.1940117114131,43.0,43.0,83.25,40,1044.3,86.0,0
53,6973.666666666666,20916.0,95.59772477415036,50.0,50.0,70.5,64,76.8,100.0,0
53,6959.333333333334,20872.0,95.79461634256155,43.0,43.0,83.25,40,1044.3,86.0,0
53,6953.333333333334,20854.0,95.87727708533076,50.0,50.0,76.5,40,235.2,100.0,0
53,7058.333333333334,21169.0,94.45100354191264,31.0,31.0,68.25,40,1044.3,62.0,0
53,6970.666666666666,20908.0,95.63886763580724,47.0,47.0,66.75,64,76.8,94.0,0
53,6892.333333333334,20671.0,96.72583063307056,30.0,30.0,76.0,40,1778.7,60.0,0
53,6883.666666666666,20645.0,96.84761028521622,40.0,40.0,58.0,40,76.8,80.0,0
53,6954.333333333334,20857.0,95.8634903896851,47.0,47.0,66.75,64,76.8,94.0,0
53,6876.333333333334,20623.0,96.95089437200058,37.0,37.0,80.75,40,1428.3,74.0,0
53,6956.333333333334,20864.0,95.83592888974076,38.0,38.0,67.0,40,456.3,76.0,0
53,14912.0,44728.0,44.70672389127325,37.0,37.0,80.75,40,1428.3,74.0,0
53,15981.0,47937.0,41.71620465970007,38.0,38.0,67.0,40,456.3,76.0,0
53,6891.333333333334,20668.0,96.73986649898424,42.0,42.0,60.5,40,76.8,84.0,0
53,6865.666666666666,20592.0,97.10151963878236,42.0,42.0,60.5,64,76.8,84.0,0
53,6926.0,20772.0,96.2556550197324,38.0,38.0,67.0,64,456.3,76.0,0
53,6967.333333333334,20896.0,95.6846234810066,37.0,37.0,80.75,64,1428.3,74.0,0
53,6962.333333333334,20881.0,95.7533393977115,42.0,42.0,82.5,64,1080.0,84.0,0
53,6875.333333333334,20624.0,96.9649956365752,25.0,25.0,39.25,40,76.8,50.0,0
53,6887.666666666666,20660.0,96.79136621013409,34.0,34.0,65.0,40,607.5,68.0,0
53,15180.666666666668,45538.0,43.91550656536823,25.0,25.0,39.25,40,76.8,50.0,0
53,20447.0,61338.0,32.60462007466458,34.0,34.0,65.0,40,607.5,68.0,0
53,6895.666666666666,20685.0,96.67907381447289,25.0,25.0,39.25,40,76.8,50.0,0
53,6940.333333333334,20819.0,96.05686566447338,45.0,45.0,64.25,40,76.8,90.0,0
53,7076.333333333334,21227.0,94.21074944651184,45.0,45.0,70.25,40,235.2,90.0,0
53,6917.0,20745.0,96.38089730615393,32.0,32.0,88.0,40,2764.8,64.0,0
53,6929.0,20782.0,96.2139798912782,41.0,41.0,59.25,40,76.8,82.0,0
53,6886.666666666666,20655.0,96.8054211035818,43.0,43.0,80.75,40,874.8,86.0,0
53,6953.333333333334,20854.0,95.87727708533076,42.0,42.0,60.5,40,76.8,84.0,0
53,6976.333333333334,20923.0,95.56118304744614,32.0,32.0,88.0,40,2764.8,64.0,0
53,6956.0,20862.0,95.84052137243626,41.0,41.0,59.25,40,76.8,82.0,0
53,6990.0,20963.0,95.37434430138292,33.0,33.0,55.25,40,235.2,66.0,0
53,6913.0,20733.0,96.43666522011672,32.0,32.0,88.0,40,2764.8,64.0,0
53,6948.666666666666,20840.0,95.94166746618056,41.0,41.0,59.25,40,76.8,82.0,0
53,6885.333333333334,20650.0,96.82416731216112,43.0,43.0,80.75,40,874.8,86.0,0
53,6881.666666666666,20639.0,96.87575684185032,42.0,42.0,60.5,40,76.8,84.0,0
53,6884.0,20646.0,96.8429207824908,33.0,33.0,55.25,40,235.2,66.0,0
53,6872.0,20609.0,97.01202949165696,34.0,34.0,50.5,64,76.8,68.0,0
465,17622.666666666664,52864.0,37.83006733751985,0.0,0.0,3.0,64,10.8,0.0,0
53,6926.666666666666,20775.0,96.24639076034649,47.0,47.0,86.75,64,940.8,94.0,0
53,6906.333333333334,20715.0,96.52975529707032,38.0,38.0,73.5,64,811.2,76.0,0
53,6914.333333333334,20737.0,96.418068746083,35.0,35.0,69.75,64,811.2,70.0,0
53,6930.666666666666,20786.0,96.19084263178144,37.0,37.0,74.25,64,940.8,74.0,0
53,6959.333333333334,20873.0,95.79461634256155,44.0,44.0,63.0,64,76.8,88.0,0
53,6919.0,20751.0,96.35303752950811,43.0,43.0,61.75,64,76.8,86.0,0
53,6974.0,20917.0,95.59315553006404,44.0,44.0,63.0,64,76.8,88.0,0
53,6893.333333333334,20675.0,96.7117988394584,33.0,33.0,55.25,80,235.2,66.0,0
53,6903.333333333334,20705.0,96.57170449058428,38.0,38.0,73.5,80,811.2,76.0,0
53,6913.0,20733.0,96.43666522011672,47.0,47.0,86.75,80,940.8,94.0,0
53,6952.333333333334,20852.0,95.89106774703936,38.0,38.0,73.5,40,811.2,76.0,0
53,6880.666666666666,20636.0,96.88983625617672,47.0,47.0,86.75,40,940.8,94.0,0
53,6885.666666666666,20652.0,96.81948007939198,43.0,43.0,67.75,40,235.2,86.0,0
53,7008.666666666666,21021.0,95.12032721392563,44.0,44.0,69.0,40,235.2,88.0,0
53,6890.0,20664.0,96.75858732462504,37.0,37.0,74.25,40,940.8,74.0,0
53,6912.666666666666,20730.0,96.44131545954286,38.0,38.0,75.5,40,940.8,76.0,0
53,6899.333333333334,20692.0,96.62769349695624,43.0,43.0,83.25,64,1044.3,86.0,0
53,6943.333333333334,20824.0,96.01536245799328,45.0,45.0,76.75,64,504.3,90.0,0
53,6885.0,20650.0,96.82885499878964,45.0,45.0,76.75,64,504.3,90.0,0
53,6964.666666666666,20888.0,95.72125969177756,50.0,50.0,70.5,64,76.8,100.0,0
53,6916.666666666666,20744.0,96.38554216867468,45.0,45.0,76.75,64,504.3,90.0,0
53,6947.666666666666,20836.0,95.95547665883028,43.0,43.0,83.25,64,1044.3,86.0,0
53,6910.333333333334,20725.0,96.473879697072,50.0,50.0,76.5,40,235.2,100.0,0
53,6942.0,20820.0,96.03380389897244,32.0,32.0,48.0,40,76.8,64.0,0
53,6878.333333333334,20628.0,96.9227041434456,32.0,32.0,48.0,40,76.8,64.0,0
53,6914.0,20736.0,96.42271719217048,32.0,32.0,48.0,64,76.8,64.0,0
53,6967.333333333334,20896.0,95.6846234810066,32.0,32.0,48.0,64,76.8,64.0,0
53,6931.333333333334,20788.0,96.18159084351257,29.0,29.0,63.25,40,874.8,58.0,0
53,6930.666666666666,20790.0,96.19084263178144,29.0,29.0,63.25,40,874.8,58.0,0
53,6943.0,20825.0,96.01997215420806,29.0,29.0,63.25,64,874.8,58.0,0
53,6941.0,20818.0,96.04763962925614,42.0,42.0,60.5,64,76.8,84.0,0
53,6849.0,20541.0,97.33781087263348,46.0,46.0,77.0,64,456.3,92.0,0
53,6891.0,20668.0,96.7445460262178,42.0,42.0,60.5,64,76.8,84.0,0
53,6877.0,20626.0,96.94149580728028,42.0,42.0,66.5,64,235.2,84.0,0
53,6945.333333333334,20831.0,95.9877135726627,37.0,37.0,80.75,64,1428.3,74.0,0
53,6920.666666666666,20756.0,96.32983334938832,38.0,38.0,67.0,64,456.3,76.0,0
53,6876.666666666666,20624.0,96.94619486185172,38.0,38.0,67.0,64,456.3,76.0,0
53,6886.0,20652.0,96.81479330041633,42.0,42.0,60.5,40,76.8,84.0,0
53,6898.333333333334,20690.0,96.64170089393572,42.0,42.0,60.5,40,76.8,84.0,0
53,6929.0,20784.0,96.2139798912782,42.0,42.0,60.5,64,76.8,84.0,0
53,6924.0,20768.0,96.2834585018294,37.0,37.0,80.75,40,1428.3,74.0,0
53,6898.0,20690.0,96.64637092877165,38.0,38.0,67.0,64,456.3,76.0,0
53,6941.666666666666,20821.0,96.03841536614652,37.0,37.0,80.75,64,1428.3,74.0,0
53,6884.666666666666,20647.0,96.83354313934348,30.0,30.0,81.0,40,2270.7,60.0,0
53,6922.666666666666,20763.0,96.30200308166413,25.0,25.0,39.25,40,76.8,50.0,0
53,6877.666666666666,20627.0,96.93209906460524,25.0,25.0,39.25,40,76.8,50.0,0
53,6933.666666666666,20795.0,96.14922359501944,43.0,43.0,80.75,40,874.8,86.0,0
53,7009.333333333334,21023.0,95.11128019783146,32.0,32.0,75.0,64,1470.0,64.0,0
53,6958.0,20868.0,95.81297307655456,47.0,47.0,86.75,64,940.8,94.0,0
53,6919.0,20753.0,96.35303752950811,37.0,37.0,74.25,64,940.8,74.0,0
53,6978.666666666666,20932.0,95.52923194497517,38.0,38.0,75.5,64,940.8,76.0,0
53,6911.333333333334,20729.0,96.45992090286488,44.0,44.0,63.0,64,76.8,88.0,0
53,6923.333333333334,20764.0,96.29272989889265,39.0,39.0,64.75,40,307.2,78.0,0
53,18534.333333333336,55597.0,35.96928223297304,39.0,39.0,64.75,40,307.2,78.0,0
53,6968.666666666666,20901.0,95.66631589017508,39.0,39.0,76.75,40,940.8,78.0,0
53,6934.0,20797.0,96.14460148062685,43.0,43.0,80.75,40,874.8,86.0,0
53,15354.666666666668,46058.0,43.417853421326846,43.0,43.0,80.75,40,874.8,86.0,0
53,6941.333333333334,20818.0,96.04302727621976,42.0,42.0,60.5,40,76.8,84.0,0
53,6869.666666666666,20605.0,97.04498034839148,42.0,42.0,95.0,40,2167.5,84.0,0
53,15131.666666666668,45390.0,44.05771560744576,42.0,42.0,95.0,40,2167.5,84.0,0
53,6896.666666666666,20684.0,96.66505558240696,50.0,50.0,103.5,64,2017.2,100.0,0
53,7004.333333333334,21008.0,95.1791747965545,36.0,36.0,79.0,64,1387.1999999999994,72.0,0
53,7056.666666666666,21164.0,94.4733112895607,31.0,31.0,62.25,40,662.7,62.0,0
53,6910.333333333334,20727.0,96.473879697072,35.0,35.0,51.75,64,76.8,70.0,0
53,6969.666666666666,20903.0,95.6525897938687,35.0,35.0,57.75,40,235.2,70.0,0
53,6961.666666666666,20880.0,95.7625089777352,45.0,45.0,76.75,40,504.3,90.0,0
53,7070.666666666666,21207.0,94.2862530643032,43.0,43.0,83.25,40,1044.3,86.0,0
53,6886.666666666666,20655.0,96.8054211035818,50.0,50.0,70.5,64,76.8,100.0,0
53,6922.0,20760.0,96.31127805065974,50.0,50.0,76.5,40,235.2,100.0,0
53,6893.0,20676.0,96.71647565162728,43.0,43.0,81.75,40,940.8,86.0,0
53,6958.0,20869.0,95.81297307655456,36.0,36.0,63.5,40,410.7,72.0,0
53,6940.666666666666,20817.0,96.05225242531937,29.0,29.0,63.25,40,874.8,58.0,0
53,6913.666666666666,20736.0,96.42736608649535,46.0,46.0,77.0,40,456.3,92.0,0
53,6888.333333333334,20660.0,96.78199854827,37.0,37.0,80.75,64,1428.3,74.0,0
53,6963.333333333334,20886.0,95.73958831977023,38.0,38.0,67.0,64,456.3,76.0,0
53,7006.0,21014.0,95.15653249595589,40.0,40.0,58.0,64,76.8,80.0,0
53,6944.333333333334,20829.0,96.0015360245764,42.0,42.0,60.5,64,76.8,84.0,0
53,6928.0,20781.0,96.2278675904542,42.0,42.0,60.5,64,76.8,84.0,0
53,6879.666666666666,20636.0,96.90391976355444,42.0,42.0,66.5,64,235.2,84.0,0
53,6977.333333333334,20927.0,95.54748710108925,41.0,41.0,59.25,64,76.8,82.0,0
53,6897.666666666666,20688.0,96.65104141497125,42.0,42.0,60.5,40,76.8,84.0,0
53,6938.666666666666,20810.0,96.07993850883936,38.0,38.0,63.5,40,307.2,76.0,0
53,6884.333333333334,20648.0,96.83823173388848,38.0,38.0,75.5,40,940.8,76.0,0
53,7036.666666666666,21105.0,94.7418285172904,32.0,32.0,88.0,40,2764.8,64.0,0
53,6895.666666666666,20682.0,96.67907381447289,38.0,38.0,87.5,64,1920.0,76.0,0
53,6892.0,20671.0,96.73050880247632,38.0,38.0,87.5,64,1920.0,76.0,0
53,6951.666666666666,20850.0,95.9002637257252,25.0,25.0,39.25,40,76.8,50.0,0
53,7002.666666666666,21005.0,95.2018278750952,31.0,31.0,67.75,40,1009.2,62.0,0
53,6949.666666666666,20843.0,95.9278622475898,33.0,33.0,78.75,40,1687.5,66.0,0
53,6885.333333333334,20651.0,96.82416731216112,25.0,25.0,39.25,40,76.8,50.0,0
53,6884.0,20648.0,96.8429207824908,34.0,34.0,65.0,40,607.5,68.0,0
53,6885.333333333334,20649.0,96.82416731216112,45.0,45.0,64.25,40,76.8,90.0,0
53,6966.666666666666,20895.0,95.69377990430624,45.0,45.0,70.25,40,235.2,90.0,0
53,6916.333333333334,20743.0,96.39018747891464,33.0,33.0,55.25,40,235.2,66.0,0
53,6973.0,20914.0,95.60686457287632,32.0,32.0,88.0,64,2764.8,64.0,0
53,18604.666666666664,55808.0,35.8333034722471,32.0,32.0,88.0,40,2764.8,64.0,0
53,6928.333333333334,20780.0,96.22323791195574,41.0,41.0,59.25,40,76.8,82.0,0
53,6919.333333333334,20752.0,96.34839579920995,43.0,43.0,80.75,64,874.8,86.0,0
53,6917.333333333334,20747.0,96.3762528912876,45.0,45.0,89.75,64,1346.7,90.0,0
53,6883.0,20645.0,96.8569906533004,32.0,32.0,88.0,40,2764.8,64.0,0
53,6961.333333333334,20879.0,95.7670944263551,41.0,41.0,59.25,40,76.8,82.0,0
53,18205.0,54609.0,36.61997619701548,41.0,41.0,59.25,40,76.8,82.0,0
53,6980.666666666666,20937.0,95.5018622863146,32.0,32.0,75.0,56,1470.0,64.0,0
53,7014.333333333334,21037.0,95.04348239319486,32.0,32.0,88.0,64,2764.8,64.0,0
53,6850.0,20544.0,97.323600973236,41.0,41.0,59.25,40,76.8,82.0,0
53,18638.333333333336,55909.0,35.768577304837706,41.0,41.0,59.25,40,76.8,82.0,0
53,6952.666666666666,20853.0,95.88647041902388,43.0,43.0,80.75,64,874.8,86.0,0
53,6926.0,20772.0,96.2556550197324,42.0,42.0,60.5,40,76.8,84.0,0
53,15364.333333333332,46087.0,43.39053652398412,42.0,42.0,60.5,40,76.8,84.0,0
53,6951.666666666666,20850.0,95.9002637257252,39.0,39.0,64.75,40,307.2,78.0,0
53,6926.0,20772.0,96.2556550197324,39.0,39.0,76.75,40,940.8,78.0,0
53,7061.666666666666,21180.0,94.40641963653528,32.0,32.0,88.0,40,2764.8,64.0,0
53,6982.666666666666,20942.0,95.47450830628222,41.0,41.0,59.25,40,76.8,82.0,0
53,7029.333333333334,21082.0,94.84066767830046,33.0,33.0,55.25,40,235.2,66.0,0
53,15914.0,47737.0,41.89183528130368,33.0,33.0,55.25,40,235.2,66.0,0
53,6955.0,20858.0,95.85430146177808,31.0,31.0,46.75,64,76.8,62.0,0
53,7024.0,21068.0,94.91268033409264,47.0,47.0,86.75,64,940.8,94.0,0
53,6973.333333333334,20916.0,95.60229445506693,37.0,37.0,74.25,64,940.8,74.0,0
53,6983.666666666666,20946.0,95.46083719154215,31.0,31.0,46.75,64,76.8,62.0,0
53,6983.0,20947.0,95.46995083297531,44.0,44.0,63.0,64,76.8,88.0,0
53,6980.0,20934.0,95.51098376313276,44.0,44.0,63.0,64,76.8,88.0,0
53,21968.666666666664,65899.0,30.346250720723447,31.0,31.0,52.75,64,235.2,62.0,0
53,6995.333333333334,20980.0,95.30162965786714,44.0,44.0,69.0,64,235.2,88.0,0
53,6995.666666666666,20983.0,95.29708867394102,44.0,44.0,69.0,64,235.2,88.0,0
53,7033.0,21095.0,94.79122233281198,38.0,38.0,75.5,40,940.8,76.0,0
53,6992.666666666666,20974.0,95.33797311469158,37.0,37.0,74.25,40,940.8,74.0,0
53,7031.666666666666,21091.0,94.80919649205973,44.0,44.0,69.0,40,235.2,88.0,0
53,6958.0,20870.0,95.81297307655456,38.0,38.0,75.5,40,940.8,76.0,0
53,6933.333333333334,20795.0,96.15384615384616,44.0,44.0,69.0,40,235.2,88.0,0
53,6936.333333333334,20803.0,96.11225911865056,44.0,44.0,69.0,40,235.2,88.0,0
53,6992.666666666666,20972.0,95.33797311469158,37.0,37.0,74.25,64,940.8,74.0,0
53,6992.666666666666,20975.0,95.33797311469158,38.0,38.0,75.5,64,940.8,76.0,0
53,7048.666666666666,21141.0,94.58053532582994,45.0,45.0,76.75,64,504.3,90.0,0
53,6984.333333333334,20948.0,95.4517252899346,50.0,50.0,70.5,64,76.8,100.0,0
53,7081.666666666666,21237.0,94.13979759943516,45.0,45.0,76.75,52,504.3,90.0,0
53,6953.666666666666,20857.0,95.8726810795264,43.0,43.0,83.25,40,1044.3,86.0,0
53,7015.333333333334,21042.0,95.02993442934525,29.0,29.0,63.25,40,874.8,58.0,0
53,7013.0,21036.0,95.06155235514996,29.0,29.0,63.25,40,874.8,58.0,0
53,6993.0,20974.0,95.333428666762,44.0,44.0,69.0,40,235.2,88.0,0
53,6949.666666666666,20845.0,95.9278622475898,29.0,29.0,63.25,64,874.8,58.0,0
53,7022.666666666666,21065.0,94.93070058857036,42.0,42.0,60.5,64,76.8,84.0,0
53,6945.666666666666,20831.0,95.98310697317272,46.0,46.0,77.0,64,456.3,92.0,0
53,6948.0,20838.0,95.95087315294568,42.0,42.0,60.5,64,76.8,84.0,0
53,7029.333333333334,21083.0,94.84066767830046,42.0,42.0,82.5,40,1080.0,84.0,0
53,6959.0,20872.0,95.7992048665996,25.0,25.0,39.25,40,76.8,50.0,0
53,7029.0,21083.0,94.84516526770048,34.0,34.0,65.0,40,607.5,68.0,0
